ЗУХРА,FEMALE,4881
ТИМОФЕЙ,MALE,4827
ЕВДОКИЯ,FEMALE,4791
АСИЯТ,FEMALE,4780
ФАРИДА,FEMALE,4779
ГАЛИЯ,FEMALE,4567
БОГДАН,MALE,4505
КАРЕН,MALE,4505
ВАРВАРА,FEMALE,4477
ЗАРИНА,FEMALE,4442
ИЛЬНУР,MALE,4433
АЛЕСЯ,FEMALE,4413
АЛИСА,FEMALE,4361
РОБЕРТ,MALE,4329
МАРИАННА,FEMALE,4287
АИДА,FEMALE,4267
ЛЕВ,MALE,4184
АРИНА,FEMALE,4180
АЗАТ,UNKNOWN,4178
ЯКОВ,MALE,4114
ЭЛИНА,FEMALE,4086
НАИЛЬ,MALE,4066
ЭЛЬЗА,FEMALE,3907
ФАИНА,FEMALE,3885
ГЕРМАН,MALE,3862
РАШИД,MALE,3666
ИНЕССА,FEMALE,3648
ЛЕЙЛА,FEMALE,3648
ЭММА,FEMALE,3524
ВИОЛЕТТА,FEMALE,3514
СОФИЯ,FEMALE,3512
ЭЛЛА,FEMALE,3512
ЗАУР,MALE,3495
РОЗАЛИЯ,FEMALE,3476
НУРИЯ,FEMALE,3293
РАФАЭЛЬ,MALE,3267
АЛМАЗ,UNKNOWN,3219
МАРСЕЛЬ,MALE,3149
РАМАЗАН,MALE,3076
ЭЛЬДАР,MALE,3019
АНТОНИДА,FEMALE,3002
РАМИЛЯ,FEMALE,3001
ИЛЬШАТ,UNKNOWN,2976
ИНДИРА,FEMALE,2963
САИДА,FEMALE,2932
АЛАН,MALE,2909
ЛЕЙСАН,FEMALE,2907
РАСУЛ,MALE,2897
РОДИОН,MALE,2897
ЭЛЕОНОРА,FEMALE,2897
ЛЮЦИЯ,FEMALE,2894
МАРЬЯМ,FEMALE,2869
БУЛАТ,MALE,2807
МУРАД,MALE,2797
АЙШАТ,FEMALE,2779
ЗИЛЯ,FEMALE,2765
ЗАИРА,FEMALE,2738
КЛАРА,FEMALE,2671
РИМА,FEMALE,2636
АХМЕД,MALE,2635
ИЛЬЯС,MALE,2630
САНИЯ,FEMALE,2630
РАМЗИЯ,FEMALE,2625
ЗЕМФИРА,FEMALE,2621
САЛАВАТ,MALE,2616
АСИЯ,FEMALE,2591
ДЖАМИЛЯ,FEMALE,2591
СУСАННА,FEMALE,2578
АРИФ,MALE,2576
ИСЛАМ,MALE,2576
ЛЕНАР,MALE,2576
МАРК,MALE,2576
СУРЕН,MALE,2576
ДИНАР,MALE,2560
ГУЛЬШАТ,UNKNOWN,2556
АЛЬМИРА,FEMALE,2523
БАИР,MALE,2513
